query,title,docid,link,rel,
Blush brush,Forever Flower Makeup Brush Set,17105,https://www.amazon.com/dp/B08XZWZFS6,4,4 - small businesses
Blush brush,"Professional Make Up Blush Brush With Brown Wooden Handle And Synthetic Bristles For Makeup Cosmetics, Rouge/Blushers, Concealers And Powders Application By VAGA",3313,https://www.amazon.com/dp/B0132SDO2W,5,
Blush brush,Beauties Factory 12pcs Makeup Brush Set (Turquoise),8206,https://www.amazon.com/dp/B00JRDE7U0,1,
Blush brush,NITRIP Rose Shape Long Handle Nail Art Brush Manicure Nail Polishing Dust Powder Removal Brush(Black+Pink),19483,https://www.amazon.com/dp/B07V5NRY4F,1,nl
Blush brush,Makeup Brush Set ShineMore Make Up Brushes (12PCs Come With A Soft Leather Bag) (Black),4760,https://www.amazon.com/dp/B01M133DFD,2,
Blush brush,"New York Color Powder Blush, Sutton Place Peach 656 0.28 oz (8.1 g)",17424,https://www.amazon.com/dp/B0051OKZLY,1,
Blush brush,"Portable Mini Natural Goat Hair Makeup Brushs Travel Set With Case Purse,6PCS Cosmetic Brushes Kit-Includes-Powder-Blush-Blending-Eyeshadow And Detail Eye Brush(Travel Size)",19785,https://www.amazon.com/dp/B08GH6FRZN,2,
Blush brush,12 Classic Color Elegant Blush Set,21837,https://www.amazon.com/dp/B00BMW24TU,1,nl
Blush brush,SEPHORA COLLECTION Colorful Blush Matte - 18 True Kiss,5769,https://www.amazon.com/dp/B07QDPVTX8,1,
Blush brush,"(Pack of 2) Maybelline New York Dream Mousse Blush, 60 Coffee Cake, 0.2 Oz by Maybelline",17992,https://www.amazon.com/dp/B00BYHSW9E,1,nl
Blush brush,Ofra Cosmetics Blush Charm 10 g,20447,https://www.amazon.com/dp/B08H5QF2H3,1,
Blush brush,Bestrice 120 Colors Eye Shadow Palette Camouflage Makeup Palette Kit + 11 Pro Bamboo Cosmetic Makeup Brush Set,16105,https://www.amazon.com/dp/B013WMA62E,1,nl
Blush brush,"Pack of 2 e.l.f. Bronzing Brush, 24113",5513,https://www.amazon.com/dp/B083WNXTJC,3,
Blush brush,No-Blush Blender,780,https://www.amazon.com/dp/B06Y2GBQ3H,1,
Blush brush,"CoverGirl Classic Color Blush, Soft Mink (N) 590, 0.27 Ounce",8605,https://www.amazon.com/dp/B00VTU1UG8,1,
Blush brush,"4-in-1 Portable Makeup Brush, Travel Makeup Brushes，Cosmetic Brush，Highlight Brush, Eyeshadow Brush，Lip Brush，Mini Facial Cosmetic Makeup Brush",13587,https://www.amazon.com/dp/B092J9PSYB,3,
Blush brush,Benefit Cosmetics The Blush Bunch Bronzer and Blush Set 6 Piece Mini Trial Size Travel,8453,https://www.amazon.com/dp/B07BR7XMG7,1,
Blush brush,Ciaté London Dewy Blush! Glossy Check Tint Blusher! Gel-Balm Tint Blush Natural Shades With Fruity Scents! Leaving The Skin With An Even And Healthy Flush Of Color! Choose Your Color! (Coconut),20824,https://www.amazon.com/dp/B086H6KF4X,1,
Blush brush,Avon Be Blushed Cheek Color Tropical Peach,3575,https://www.amazon.com/dp/B00B4VILQO,1,
Blush brush,Origins Blooming Bold Lipstick Petal Blush,9894,https://www.amazon.com/dp/B07ZDFQ3DB,1,
Blush brush,Broadway Nails Fashion Diva Pink Blush Peace Signs BGFD07,17239,https://www.amazon.com/dp/B009J62UJU,1,
Blush brush,"SEPHORA COLLECTION The Enchanting Glow - Blush, bronzer & highlighter",19315,https://www.amazon.com/dp/B07K8VZHY3,1,
Blush brush,MAC Mineralize Blush Humour Me,18861,https://www.amazon.com/dp/B093VWZ5SV,1,
Blush brush,Gabor Gabor 73.750 Grey Velvet UK 5.5 (US Women's 8),16187,https://www.amazon.com/dp/B00GTAYG8M,1,nl
Blush brush,Magic Wand Makeup Brushes Set - 5pcs Wizard Wand Makeup Brushes Foundation Blending Blush Eyeshadow Face Lip Powder Brush Beauty Tools (New-Bronze),812,https://www.amazon.com/dp/B07YG4PRTN,1,nl
Blush brush,Sailor Moon x Colourpop Collection - From The Moon - Pressed Powder Blush (Cat's Eye),20421,https://www.amazon.com/dp/B08CXPG4XZ,1,
Blush brush,ColourPop x Hello Kitty Pressed Powder Cheek Color AT FROST SIGHT! Full Size Blush New in Box,17538,https://www.amazon.com/dp/B08RYHV7KD,1,
Blush brush,PAT McGRATH LABS Skin Fetish: Divine Powder Blush Divine Rose,21686,https://www.amazon.com/dp/B09QRK297W,1,
Blush brush,Avon Ultimate Mega Mix N Go Palette,1380,https://www.amazon.com/dp/B00FMV8ZU4,1,
Blush brush,MAC Powder Blush Sincere,23295,https://www.amazon.com/dp/B009QZ7W38,1,
Blush brush,"Makeup Brushes Set, 10 in 1 Cosmetic Professional Make Up Synthetic Fiber Bristles Brushes Kits for Foundation Blending Blush Concealer Eye Shadow with Travel Pouch Bag(Green)",8297,https://www.amazon.com/dp/B07RKQTPH3,5,
Blush brush,"Colourpop ""Aloha Honey"" Blush - Hello Kitty Tropical Escape Collection - Matte Coral NIB",17819,https://www.amazon.com/dp/B097S3K15D,1,
Blush brush,Cellular Radiance Cream Blush (Rose Glow),15625,https://www.amazon.com/dp/B002SQ1PHQ,1,
